date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:19	2530/2530	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:46:19%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fprix-et-reconnaissance%2F&format=xml	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed4a0b	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:20	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.139.delayed	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:20	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.13a.delayed	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:20	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.13b.delayed	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:20	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.13c.delayed	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:20	0/-1	---M--	301	error ('')			https://pharaohsoft.com/fr	work/pharaohsoft/pharaohsoft.com/fr.13d.delayed	(from https://pharaohsoft.com/fr/prix-et-reconnaissance/)
22:46:20	7644/7644	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:20%20GMT	https://pharaohsoft.com/wp-json/wp/v2/pages/160	work/pharaohsoft/pharaohsoft.com/wp-json/wp/v2/pages/160.json	(from https://pharaohsoft.com/fr/les-partenaires/)
22:46:21	2304/2304	---M-Z	200	added ('OK')	application/json	date:Fri,%2015%20Dec%202023%2020:46:21%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fles-partenaires%2F	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embed6394.json	(from https://pharaohsoft.com/fr/les-partenaires/)
22:46:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Dec%202023%2020:46:22%20GMT	https://pharaohsoft.com/?p=160	work/pharaohsoft/pharaohsoft.com/index9c2b.html	(from https://pharaohsoft.com/fr/les-partenaires/)
22:46:22	2497/2497	---M-Z	200	added ('OK')	text/xml	date:Fri,%2015%20Dec%202023%2020:46:22%20GMT	https://pharaohsoft.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpharaohsoft.com%2Ffr%2Fles-partenaires%2F&format=xml	work/pharaohsoft/pharaohsoft.com/wp-json/oembed/1.0/embeded9b	(from https://pharaohsoft.com/fr/les-partenaires/)
